name,photo_url,growth_form,care_difficulty,management_level,water_period_spring,water_period_summer,water_period_autumn,water_period_winter,growth_temp,sunlight,humidity,flower,content
가울테리아,http://www.nongsaro.go.kr/cms_contents/301/12938_MF_ATTACH_01_TMB.jpg,관목형,낮음 (잘 견딤),경험자,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,16~20℃,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",40 ~ 70%,여름,진달래과의 작은 관목으로 척박한 산성토양에서 잘 자라며 키는 20cm정도로 포복형이다.  암석정원에 잘 어울린다.
개운죽,http://www.nongsaro.go.kr/cms_contents/301/12954_MF_ATTACH_01_TMB.jpg,직립형,낮음 (잘 견딤),초보자,흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),토양 표면이 말랐을때 충분히 관수함,16~20℃,"낮은 광도(300~800 Lux),중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",40 ~ 70%,,"화분에 심을 경우에는 부드럽고 배수가 잘 되는 토양에 심음
※ 개운죽은 관엽으로 분류되어 있지만 사실은 잎보다 잎이 떨어진 후 대나무처럼 보이는 줄기가 더욱 관상의 대상이 된다. 직선보다 곡선의 줄기가 필요한 경우에는 줄기를 곡선으로 유도할 수 있다."
골드크레스트 '윌마',http://www.nongsaro.go.kr/cms_contents/301/12955_MF_ATTACH_01_TMB.jpg,직립형,보통 (약간 잘 견딤),경험자,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,16~20℃,"높은 광도(1,500~10,000 Lux)",40 ~ 70%,,"※ Cupressus macrocarpa 품종 중에 'wilma', 'goldcrest' 등의 품종이 있는데, 우리가 사용하고 있는 율마라는 이름은 “wilma""에서 나온 것으로 생각된다. 따라서 율마라는 이름이 윌마로 교정되어야하지 않을까 고려된다.바람에 약하며 줄기 아랫부분의 잎이 떨어지면 황량한 느낌을 주지만 토피아리 형식으로 키울 수도 있다.크리스마스 트리로 실내에 장식하면 좋다."
공작야자,http://www.nongsaro.go.kr/cms_contents/301/12957_MF_ATTACH_01_TMB.jpg,직립형,필요함,경험자,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,21~25℃,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",70% 이상,여름,"포름알데히드, 벤젠, 톨루엔, 트리클로로 에틸렌"
관엽베고니아,http://www.nongsaro.go.kr/cms_contents/301/12962_MF_ATTACH_01_TMB.jpg,관목형,보통 (약간 잘 견딤),경험자,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,16~20℃,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",40 ~ 70%,봄,대부분의 종이 열대지역에서 건너왔기 때문에 따뜻한 기온이 필요하며 여름철에는 그늘진 곳에 배치하는 것을 추천한다. 생장이 시작되는 봄에 분갈이를 하고 보름 정도 지나서 비료를 주는 것을 추천한다. 베고니아는 잎이나 잎자루가 다즙질이어서 연약하므로 취급시에는 주의가 필요하다. 
관음죽,http://www.nongsaro.go.kr/cms_contents/301/12963_MF_ATTACH_01_TMB.jpg,관목형,보통 (약간 잘 견딤),경험자,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,16~20℃,"낮은 광도(300~800 Lux),중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",40 ~ 70%,,"손바닥 모양의 잎을 가진 집에서 기르기 쉽고 그늘과 추위에도 잘 견디고 병해충에도 강하기기 때문에 기르기 쉬운 식물이다.
자라는 속도가 느려서 관리가 편하다. 반엽이 들어있는 종은 색상이 더욱 아름답다. 2년에 한 번씩 분갈이를 해 주면 좋다."
구문초,http://www.nongsaro.go.kr/cms_contents/301/12966_MF_ATTACH_01_TMB.jpg,관목형,필요함,경험자,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,16~20℃,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",40 ~ 70%,"봄,여름",구문초는 꽃이 많이 피는 편에 속하는 허브입니다. 추위와 고온다습에 약한 식물이니 주의가 필요합니다. 가지치기를 해주는 것이 중요하며 새로운 줄기를 키워주어야 병충해의 발생을 줄일 수 있습니다. 
구즈마니아,http://www.nongsaro.go.kr/cms_contents/301/12972_MF_ATTACH_01_TMB.jpg,로제트형,필요함,경험자,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,21~25℃,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",40 ~ 70%,"봄,여름",식물체 중심 잎과 잎 포기 사이 물통에 물이 고이도록 함
군자란,http://www.nongsaro.go.kr/cms_contents/301/12974_MF_ATTACH_01_TMB.jpg,풀모양,보통 (약간 잘 견딤),경험자,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,16~20℃,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",40 ~ 70%,"봄,여름",햇빛에 약한 식물이니 반그늘에서 키우는 것이 좋습니다. 
글레코마,http://www.nongsaro.go.kr/cms_contents/301/12988_MF_ATTACH_01_TMB.jpg,덩굴성,낮음 (잘 견딤),초보자,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,16~20℃,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",40 ~ 70%,"봄,여름",글레코마는 성장 속도가 매우 빠른 식물입니다. 줄기 일부만 남겨두고 바짝 잘라도 새로운 줄기가 쉽게 나오면서 재생이 쉬운 식물입니다. 외국에서는 요리와 의약품에 많이 사용되지만 우리나라에서는 아직 안전하다고 발표된 것이 없기 때문에 함부로 먹지 마세요
